id_movie,title,genres,year,id_Director,Directed_By,LastName_Dir
1,Toy Story,Adventure|Animation|Children|Comedy|Fantasy,1995,2,Janna,Rali
2,Jumanji,Adventure|Children|Fantasy,1995,2,Janna,Rali
3,Grumpier Old Men,Comedy|Romance,1994,1,Robert,Flexi
4,Waiting to Exhale,Comedy|Drama|Romance,1995,6,Petit,Hamon
5,Father of the Bride Part II,Empty,1994,7,Richard ,Mallet
6,Heat,Action|Crime|Thriller,1995,9,Alias,Remy
7,Sabrina,Comedy|Romance,1994,7,Richard ,Mallet
8,Tom and Huck,Adventure|Children,1994,8,Jirar,Parrier
9,Sudden Death,Action,1995,9,Alias,Remy
10,GoldenEye,Action|Adventure|Thriller,1995,7,Richard ,Mallet
11,American President  The,Comedy|Drama|Romance,1995,5,Thomas,Jagob
12,Dracula: Dead and Loving It,Comedy|Horror,1995,7,Richard ,Mallet
13,Balto,Adventure|Animation|Children,1995,10,Pop,Baron
14,Nixon,Drama,1994,7,Richard ,Mallet
15,Cutthroat Island,Action|Adventure|Romance,1994,1,Robert,Flexi
16,Casino,Empty,1995,3,Francois,Tibou
17,Sense and Sensibility,Drama|Romance,1995,7,Richard ,Mallet
18,Four Rooms,Comedy,1994,4,Barnard ,Monnier
19,Ace Ventura: When Nature Calls,Empty,1995,9,Alias,Remy
20,Money Train,Action|Comedy|Crime|Drama|Thriller,1994,2,Janna,Rali
21,Get Shorty,Comedy|Crime|Thriller,1994,5,Thomas,Jagob
22,Copycat,Crime|Drama|Horror|Mystery|Thriller,1994,10,Pop,Baron
23,Assassins,Action|Crime|Thriller,1995,10,Pop,Baron
24,Powder,Drama|Sci-Fi,1994,8,Jirar,Parrier
25,Leaving Las Vegas,Drama|Romance,1994,9,Alias,Remy
26,Othello,Drama,1995,3,Francois,Tibou
27,Now and Then,Children|Drama,1994,10,Pop,Baron
28,Persuasion,Drama|Romance,1994,4,Barnard ,Monnier
29,City of Lost Children The (Cit? des enfants perdus La),Adventure|Drama|Fantasy|Mystery|Sci-Fi,1995,7,Richard ,Mallet
30,Shanghai Triad (Yao a yao yao dao waipo qiao),Crime|Drama,1994,3,Francois,Tibou
31,Dangerous Minds,Drama,1994,2,Janna,Rali
32,Twelve Monkeys (a.k.a. 12 Monkeys),Mystery|Sci-Fi|Thriller,1994,1,Robert,Flexi
34,Babe,Children|Drama,1995,1,Robert,Flexi
35,Carrington,Drama|Romance,1994,10,Pop,Baron
36,Dead Man Walking,Crime|Drama,1994,3,Francois,Tibou
37,Across the Sea of Time,Documentary|IMAX,1994,3,Francois,Tibou
38,It Takes Two,Children|Comedy,1994,4,Barnard ,Monnier
39,Clueless,Comedy|Romance,1995,5,Thomas,Jagob
40,Cry  the Beloved Country,Drama,1994,4,Barnard ,Monnier
41,Richard III,Drama|War,1994,1,Robert,Flexi
42,Dead Presidents,Action|Crime|Drama,1995,8,Jirar,Parrier
43,Restoration,Empty,1994,10,Pop,Baron
44,Mortal Kombat,Action|Adventure|Fantasy,1995,4,Barnard ,Monnier
45,To Die For,Comedy|Drama|Thriller,1995,4,Barnard ,Monnier
46,How to Make an American Quilt,Drama|Romance,1994,8,Jirar,Parrier
47,Seven (a.k.a. Se7en),Mystery|Thriller,1994,5,Thomas,Jagob
48,Pocahontas,Animation|Children|Drama|Musical|Romance,1995,10,Pop,Baron
49,When Night Is Falling,Drama|Romance,1994,10,Pop,Baron
50,Usual Suspects  The,Crime|Mystery|Thriller,1994,1,Robert,Flexi
52,Mighty Aphrodite,Comedy|Drama|Romance,1995,3,Francois,Tibou
53,Lamerica,Adventure|Drama,1993,4,Barnard ,Monnier
54,Big Green  The,Children|Comedy,1995,6,Petit,Hamon
55,Georgia,Drama,1995,5,Thomas,Jagob
57,Home for the Holidays,Drama,1995,8,Jirar,Parrier
58,Postman  The (Postino  Il),Comedy|Drama|Romance,1993,8,Jirar,Parrier
59,Confessional  The (Confessionnal  Le),Drama|Mystery,1995,9,Alias,Remy
60,Indian in the Cupboard  The,Adventure|Children|Fantasy,1994,4,Barnard ,Monnier
61,Eye for an Eye,Drama|Thriller,1995,1,Robert,Flexi
62,Mr. Holland's Opus,Drama,1995,4,Barnard ,Monnier
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Comedy|Crime,1996,3,Francois,Tibou
64,Two if by Sea,Comedy|Romance,1995,4,Barnard ,Monnier
65,Bio-Dome,Comedy,1995,30,Vidal,Benard
66,Lawnmower Man 2: Beyond Cyberspace,Action|Sci-Fi|Thriller,1995,4,Barnard ,Monnier
68,French Twist (Gazon maudit),Comedy|Romance,1995,7,Richard ,Mallet
69,Friday,Comedy,1994,3,Francois,Tibou
70,From Dusk Till Dawn,Action|Comedy|Horror|Thriller,1995,3,Francois,Tibou
71,Fair Game,Action,1994,10,Pop,Baron
72,Kicking and Screaming,Comedy|Drama,1995,9,Alias,Remy
73,Mis?rables  Les,Drama|War,1995,8,Jirar,Parrier
74,Bed of Roses,Drama|Romance,1996,8,Jirar,Parrier
76,Screamers,Action|Sci-Fi|Thriller,1994,7,Richard ,Mallet
77,Nico Icon,Documentary,1995,2,Janna,Rali
78,Crossing Guard  The,Action|Crime|Drama|Thriller,1994,6,Petit,Hamon
79,Juror  The,Drama|Thriller,1996,5,Thomas,Jagob
80,White Balloon  The (Badkonake sefid),Children|Drama,1995,10,Pop,Baron
81,Things to Do in Denver When You're Dead,Crime|Drama|Romance,1994,4,Barnard ,Monnier
82,Antonia's Line (Antonia),Comedy|Drama,1994,1,Robert,Flexi
83,Once Upon a Time... When We Were Colored,Drama|Romance,1995,9,Alias,Remy
84,Last Summer in the Hamptons,Comedy|Drama,1995,1,Robert,Flexi
85,Angels and Insects,Drama|Romance,1995,9,Alias,Remy
86,White Squall,Action|Adventure|Drama,1995,10,Pop,Baron
87,Dunston Checks In,Children|Comedy,1995,8,Jirar,Parrier
88,Black Sheep,Comedy,1995,8,Jirar,Parrier
89,Nick of Time,Action|Thriller,1995,1,Robert,Flexi
92,Mary Reilly,Drama|Horror|Thriller,1996,4,Barnard ,Monnier
93,Vampire in Brooklyn,Comedy|Horror|Romance,1994,2,Janna,Rali
94,Beautiful Girls,Comedy|Drama|Romance,1995,9,Alias,Remy
95,Broken Arrow,Action|Adventure|Thriller,1995,7,Richard ,Mallet
96,In the Bleak Midwinter,Comedy|Drama,1995,7,Richard ,Mallet
97,Hate (Haine  La),Crime|Drama,1994,2,Janna,Rali
98,Shopping,Action|Thriller,1994,10,Pop,Baron
99,Heidi Fleiss: Hollywood Madam,Documentary,1995,6,Petit,Hamon
100,City Hall,Drama|Thriller,1996,30,Vidal,Benard
101,Bottle Rocket,Adventure|Comedy|Crime|Romance,1996,3,Francois,Tibou
102,Mr. Wrong,Comedy,1996,24,Boyier,Perrier
103,Unforgettable,Mystery|Sci-Fi|Thriller,1995,9,Alias,Remy
104,Happy Gilmore,Comedy,1995,5,Thomas,Jagob
105,Bridges of Madison County  The,Drama|Romance,1995,9,Alias,Remy
107,Muppet Treasure Island,Adventure|Children|Comedy|Musical,1995,7,Richard ,Mallet
108,Catwalk,Documentary,1995,1,Robert,Flexi
110,Braveheart,Action|Drama|War,1995,5,Thomas,Jagob
111,Taxi Driver,Crime|Drama|Thriller,1976,5,Thomas,Jagob
112,Rumble in the Bronx (Hont faan kui),Action|Adventure|Comedy|Crime,1995,6,Petit,Hamon
113,Before and After,Drama|Mystery,1995,4,Barnard ,Monnier
114,Margaret's Museum,Drama,1995,1,Robert,Flexi
116,Anne Frank Remembered,Documentary,1995,10,Pop,Baron
117,Young Poisoner's Handbook  The,Crime|Drama,1994,3,Francois,Tibou
118,If Lucy Fell,Comedy|Romance,1995,4,Barnard ,Monnier
119,Steal Big  Steal Little,Comedy,1995,9,Alias,Remy
121,Boys of St. Vincent  The,Drama,1992,10,Pop,Baron
122,Boomerang,Comedy|Romance,1991,10,Pop,Baron
123,Chungking Express (Chung Hing sam lam),Drama|Mystery|Romance,1993,5,Thomas,Jagob
124,Star Maker  The (Uomo delle stelle  L'),Drama,1995,3,Francois,Tibou
125,Flirting With Disaster,Comedy,1995,4,Barnard ,Monnier
126,NeverEnding Story III  The,Adventure|Children|Fantasy,1994,10,Pop,Baron
129,Pie in the Sky,Comedy|Romance,1995,6,Petit,Hamon
130,Angela,Drama,1994,6,Petit,Hamon
131,Frankie Starlight,Drama|Romance,1994,1,Robert,Flexi
132,Jade,Thriller,1994,10,Pop,Baron
135,Down Periscope,Comedy,1996,8,Jirar,Parrier
137,Man of the Year,Documentary,1994,6,Petit,Hamon
140,Up Close and Personal,Drama|Romance,1996,24,Boyier,Perrier
141,Birdcage  The,Comedy,1996,4,Barnard ,Monnier
144,Brothers McMullen  The,Comedy,1995,9,Alias,Remy
145,Bad Boys,Action|Comedy|Crime|Drama|Thriller,1995,8,Jirar,Parrier
146,Amazing Panda Adventure  The,Adventure|Children,1995,7,Richard ,Mallet
147,Basketball Diaries  The,Drama,1995,4,Barnard ,Monnier
148,Awfully Big Adventure  An,Drama,1994,7,Richard ,Mallet
149,Amateur,Crime|Drama|Thriller,1994,5,Thomas,Jagob
150,Apollo 13,Adventure|Drama|IMAX,1994,3,Francois,Tibou
151,Rob Roy,Action|Drama|Romance|War,1994,6,Petit,Hamon
152,Addiction  The,Drama|Horror,1994,6,Petit,Hamon
153,Batman Forever,Action|Adventure|Comedy|Crime,1995,3,Francois,Tibou
154,Beauty of the Day (Belle de jour),Drama,1967,5,Thomas,Jagob
155,Beyond Rangoon,Adventure|Drama|War,1994,7,Richard ,Mallet
156,Blue in the Face,Comedy|Drama,1994,3,Francois,Tibou
157,Canadian Bacon,Empty,1994,9,Alias,Remy
158,Casper,Adventure|Children,1994,2,Janna,Rali
159,Clockers,Crime|Drama|Mystery,1994,2,Janna,Rali
160,Congo,Action|Adventure|Mystery|Sci-Fi,1994,1,Robert,Flexi
161,Crimson Tide,Drama|Thriller|War,1994,5,Thomas,Jagob
162,Crumb,Documentary,1994,5,Thomas,Jagob
163,Desperado,Action|Romance|Western,1995,7,Richard ,Mallet
164,Devil in a Blue Dress,Crime|Film-Noir|Mystery|Thriller,1995,9,Alias,Remy
165,Die Hard: With a Vengeance,Action|Crime|Thriller,1994,10,Pop,Baron
166,Doom Generation  The,Comedy|Crime|Drama,1994,4,Barnard ,Monnier
167,Feast of July,Drama,1995,9,Alias,Remy
168,First Knight,Action|Drama|Romance,1994,5,Thomas,Jagob
169,Free Willy 2: The Adventure Home,Adventure|Children|Drama,1995,5,Thomas,Jagob
170,Hackers,Action|Adventure|Crime|Thriller,1994,2,Janna,Rali
171,Jeffrey,Comedy|Drama,1995,4,Barnard ,Monnier
172,Johnny Mnemonic,Action|Sci-Fi|Thriller,1995,1,Robert,Flexi
173,Judge Dredd,Action|Crime|Sci-Fi,1995,10,Pop,Baron
174,Jury Duty,Comedy,1995,6,Petit,Hamon
175,Kids,Drama,1994,2,Janna,Rali
176,Living in Oblivion,Comedy,1995,4,Barnard ,Monnier
177,Lord of Illusions,Horror,1994,1,Robert,Flexi
178,Love & Human Remains,Comedy|Drama,1993,3,Francois,Tibou
179,Mad Love,Drama|Romance,1995,7,Richard ,Mallet
180,Mallrats,Comedy|Romance,1995,6,Petit,Hamon
181,Mighty Morphin Power Rangers: The Movie,Action|Children,1994,7,Richard ,Mallet
183,Mute Witness,Comedy|Horror|Thriller,1994,5,Thomas,Jagob
184,Nadja,Drama,1994,9,Alias,Remy
185,Net  The,Action|Crime|Thriller,1995,10,Pop,Baron
186,Nine Months,Comedy|Romance,1994,2,Janna,Rali
