id_movie;title;genres;year;id_Director
6;Heat;Action|Crime|Thriller;-1995;9
14;Nixon;Drama;-1994;7
30;Shanghai Triad (Yao a yao yao dao waipo qiao);Crime|Drama;-1994;3
60;Indian in the Cupboard  The;Adventure|Children|Fantasy;-1994;4
333;Tommy Boy;Comedy;-1994;6
199;Umbrellas of Cherbourg  The (Parapluies de Cherbourg  Les);Drama|Musical|Romance;1963;10
390;Faster Pussycat! Kill! Kill!;Action|Crime|Drama;1964;7
154;Beauty of the Day (Belle de jour);Drama;1967;5
111;Taxi Driver;Crime|Drama|Thriller;1976;5
495;In the Realm of the Senses (Ai no corrida);Drama;1976;8
260;Star Wars: Episode IV - A New Hope;Action|Adventure|Sci-Fi;1977;1
122;Boomerang;Comedy|Romance;1991;10
347;Bitter Moon;Drama|Film-Noir|Romance;1991;2
121;Boys of St. Vincent  The;Drama;1992;10
265;Like Water for Chocolate (Como agua para chocolate);Drama|Fantasy|Romance;1992;10
269;My Crazy Life (Mi vida loca);Drama;1992;3
285;Beyond Bedlam;Drama|Horror;1992;1
321;Strawberry and Chocolate (Fresa y chocolate);Drama;1992;5
337;What's Eating Gilbert Grape;Drama;1992;1
363;Wonderful  Horrible Life of Leni Riefenstahl  The (Macht der Bilder: Leni Riefenstahl  Die);Documentary;1992;7
365;Little Buddha;Drama;1992;2
373;Red Rock West;Thriller;1992;2
392;Secret Adventures of Tom Thumb  The;Adventure|Animation;1992;4
412;Age of Innocence  The;Drama;1992;1
428;Bronx Tale  A;Drama;1992;6
431;Carlito's Way;Crime|Drama;1992;6
434;Cliffhanger;Action|Adventure|Thriller;1992;7
435;Coneheads;Comedy|Sci-Fi;1992;3
441;Dazed and Confused;Comedy;1992;4
451;Flesh and Bone;Drama|Mystery|Romance;1992;6
453;For Love or Money;Comedy|Romance;1992;2
454;Firm  The;Drama|Thriller;1992;6
465;Heaven & Earth;Action|Drama|War;1992;6
474;In the Line of Fire;Action|Thriller;1992;9
475;In the Name of the Father;Drama;1992;2
486;Life with Mikey;Comedy;1992;9
488;M. Butterfly;Drama|Romance;1992;8
490;Malice;Thriller;1992;10
